epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1488.88,0.74449,1.63165,0.74793,1.03469,0,0.84038,0.77569,0.82371,0.59603,0.82058,0.75865,0.79206,0.53529,0.82949,1.8571,0.75141,1.08848,0,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,1535,0.74459,1.61912,0.74162,1.0464,0,0.82182,0.76219,0.81836,0.59054,0.79926,0.7472,0.78414,0.53783,0.84826,1.86032,0.77077,1.10407,0,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,1580.74,0.73923,1.63843,0.74296,1.03987,0,0.83464,0.76007,0.82261,0.5976,0.82883,0.73475,0.78513,0.54087,0.83645,1.82774,0.75602,1.09011,0,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,1630.07,0.7339,1.62192,0.72057,1.0314,0,0.84122,0.77054,0.82024,0.59297,0.81493,0.74769,0.78253,0.53335,0.83824,1.8388,0.74347,1.09658,0,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,1679.76,0.72527,1.57265,0.71547,1.0284,0,0.84342,0.76836,0.82808,0.59569,0.82505,0.75015,0.79609,0.53685,0.83719,1.82713,0.73409,1.09326,0,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,1726.9,0.72656,1.62892,0.71693,1.02744,0,0.8355,0.75196,0.81517,0.58933,0.85387,0.70026,0.77912,0.53338,0.84452,1.85566,0.75786,1.10015,0,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,1775.04,0.72734,1.62083,0.70349,1.03116,0,0.82865,0.77238,0.81538,0.59819,0.81813,0.74954,0.77969,0.53576,0.83435,1.87822,0.74631,1.10041,0,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,1818.97,0.72191,1.62164,0.71802,1.03907,0,0.81743,0.76674,0.81379,0.5937,0.83714,0.72597,0.78317,0.53305,0.83253,1.90966,0.74072,1.0956,0,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,1864.89,0.7244,1.59671,0.70624,1.03,0,0.83745,0.75773,0.81976,0.59565,0.84118,0.71825,0.78872,0.53127,0.83353,1.84539,0.74371,1.09925,0,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,1911.42,0.73704,1.61659,0.71254,1.03205,0,0.83221,0.76212,0.8156,0.59908,0.82687,0.7386,0.78784,0.53836,0.83081,1.8353,0.72299,1.09524,0,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
